EXPERIMENT,ARMS,TURNS,PAYOFF_FXN,TURBULENCE_FXN,STRATEGY_FXN,BELIEF_FXN,TURBULENCE,STRATEGY,LATENCY,INITIAL_LEARNING,MEMORY,MEAN_SCORE,MEAN_KNOWLEDGE,MEAN_OPINION,MEAN_PROBEXPLORE
30,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.25,0,0,500,263.382,0.6139228639970349,0.14904005279024235,0.015989324654700383
31,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.25,16,16,50,29.34,-0.574794682304391,0.25891407030581604,0.49176816739514395
32,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.25,16,16,100,87.974,-0.8752862822525768,0.2015893075795734,0.16107339797277176
33,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.25,16,16,150,165.084,-0.7450187904161664,0.09898977779005795,0.21885463373085226
34,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.25,16,16,200,216.27,-0.14725474450777082,0.1318210166292935,0.21527870648058545
35,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.25,16,16,250,254.728,0.293967882511684,0.13680818176733134,0.1247321167933452
36,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.25,16,16,300,266.15,0.48264631925207385,0.11819395832865115,0.10337153242363038
37,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.25,16,16,350,276.91,0.5258772559445182,0.1260072691968976,0.08575042666672252
38,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.25,16,16,400,271.094,0.49914187009134453,0.17128713264866344,0.07227408328776494
39,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.25,16,16,450,275.212,0.44798437615785114,0.284822073022477,0.06841905792318155
40,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.25,16,16,500,277.43,0.7943932089501681,0.37158482243631935,0.09491910218178624
41,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.5,0,0,50,60.54,-0.731520272265931,0.007534019969879268,0.770659310201116
42,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.5,0,0,100,147.9,-0.9867938012572612,0.04107393977707504,0.7211908874401985
43,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.5,0,0,150,213.578,-0.47221515798950153,0.16037731573901456,0.41501199528459104
44,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.5,0,0,200,250.424,0.04882443960716834,0.208374362224925,0.21880757744112417
45,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.5,0,0,250,261.94,0.3135923113682512,0.20178268239668717,0.1787861545099975
46,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.5,0,0,300,278.08,0.5244788674758314,0.1857995093647046,0.1627908843676987
47,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.5,0,0,350,280.75,0.6040173309137908,0.17562255009145,0.1397970827345686
48,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.5,0,0,400,279.228,0.6124014203619909,0.18213790133825597,0.15130954557807738
49,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.5,0,0,450,283.782,0.6344401468182329,0.19048557779512987,0.13701535108746715
50,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.5,0,0,500,281.14,0.6713570202431534,0.2387748335512813,0.13139267864472567
51,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.5,16,16,50,23.11,-0.5962548932402968,0.2541090053129962,0.48908612467135715
52,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.5,16,16,100,71.264,-0.9939284653637341,0.07935056443565595,0.39627852662360163
53,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.5,16,16,150,139.3,-0.9532680561375424,0.08168000180406021,0.558565961837085
54,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.5,16,16,200,192.948,-0.3212971688363427,0.15708744337976008,0.3843845393861304
55,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.5,16,16,250,234.488,0.21100466303566218,0.1781135370526553,0.2893276417204525
56,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.5,16,16,300,244.938,0.4738860884739191,0.16131690404735377,0.28438728025577015
57,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.5,16,16,350,263.288,0.5663416700386162,0.17465328297420588,0.26122867143671075
58,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.5,16,16,400,267.142,0.5712838821492731,0.20418816610270799,0.23282682133415955
59,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.5,16,16,450,269.05,0.5385742105818965,0.2973817557969117,0.1937829907847146
60,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.5,16,16,500,269.196,0.8158043330609238,0.38473871804612864,0.23446665333800062
61,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.75,0,0,50,50.374,-0.7532078998901323,0.008976122836148551,0.8016728639923095
62,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.75,0,0,100,122.462,-1.0892501131132244,0.03590592648029735,0.7876178589571403
63,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.75,0,0,150,187.79,-0.6778326728867271,0.1581037427885258,0.5358571506082137
64,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.75,0,0,200,222.244,-0.1027537597803229,0.2207182539001787,0.3709127017082793
65,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.75,0,0,250,248.896,0.2961534138742466,0.23702722438427823,0.3302658695566315
66,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.75,0,0,300,258.194,0.5337058630180148,0.24569339908269922,0.3316644332151022
