EXPERIMENT,ARMS,TURNS,PAYOFF_FXN,TURBULENCE_FXN,STRATEGY_FXN,BELIEF_FXN,TURBULENCE,STRATEGY,LATENCY,INITIAL_LEARNING,MEMORY,MEAN_SCORE,MEAN_KNOWLEDGE,MEAN_OPINION,MEAN_PROBEXPLORE
30,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.08,1,0,0,2000,94.08,-0.21376077003529856,0.21105922956481288,0.8616147350354195
31,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.16,0.02,0,0,2000,65.888,-0.23992687091198583,0.09973894181332575,0.019335072222347555
32,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.16,0.25,0,0,2000,115.658,-0.33252199197343163,0.149074460464866,0.5053891535460602
33,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.16,0.5,0,0,2000,102.058,-0.4032771224744386,0.268207177217615,0.734558224056861
34,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.16,0.75,0,0,2000,73.662,-0.2981650207923286,0.2518258893331109,0.8347119964098697
35,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.16,1,0,0,2000,48.794,-0.18520809851967254,0.18547423656345427,0.8778167504641086
36,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.32,0.02,0,0,2000,38.146,-0.26370068823264337,0.09637415492319369,0.01698085896867196
37,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.32,0.25,0,0,2000,64.512,-0.34469079578463285,0.13810179661728555,0.5414451373071067
38,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.32,0.5,0,0,2000,51.788,-0.39240412102562916,0.2574885525681927,0.7627544880042009
39,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.32,0.75,0,0,2000,32.338,-0.29453625678994033,0.2291053121217076,0.851498434556717
40,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.32,1,0,0,2000,25.284,-0.20057708002040794,0.16568342493407928,0.885910169574512
